accuracy,sparsity,seed,model,dataset,layer_id,layer_name,iterative_spectral_gap,iterative_degree_bound,degree_bound,layer_sparsity,no_weights,no_params
0.7597,0.98,1,Resnet-20,CIFAR-10,14,layer3.0.conv1,0.6910887062549591,0.4015705305346625,0.3217525823717843,0.0148654514923691,274.0,18432.0
0.7597,0.98,1,Resnet-20,CIFAR-10,15,layer3.0.conv2,0.7099215984344482,0.2475018832345631,0.2484702152763996,0.0081108938902616,299.0,36864.0
0.7597,0.98,1,Resnet-20,CIFAR-10,16,layer3.0.shortcut.0,,,-0.414213562373095,0.00146484375,3.0,2048.0
0.7597,0.98,1,Resnet-20,CIFAR-10,17,layer3.1.conv1,0.9440773328145344,0.3399308257797293,0.2461633786070225,0.0075412327423691,278.0,36864.0
0.7597,0.98,1,Resnet-20,CIFAR-10,18,layer3.1.conv2,0.5371096730232239,0.2557518090874728,0.2208416518500067,0.0078667532652616,290.0,36864.0
0.7597,0.98,1,Resnet-20,CIFAR-10,19,layer3.2.conv1,1.0335986216862996,0.6418850315490983,0.3316549069478184,0.0068630641326308,253.0,36864.0
0.7597,0.98,1,Resnet-20,CIFAR-10,20,layer3.2.conv2,0.7458676099777222,0.1922806891977559,0.1899638279376814,0.0084635419771075,312.0,36864.0
0.7597,0.98,1,Resnet-20,CIFAR-10,21,linear,2.447921454906464,0.5931243951321014,0.5014237726387807,0.3031249940395355,194.0,640.0
0.7649,0.98,2,Resnet-20,CIFAR-10,0,conv1,1.802171230316162,0.5027053010045899,0.3671305007917087,0.5370370149612427,232.0,432.0
0.7649,0.98,2,Resnet-20,CIFAR-10,1,layer1.0.conv1,0.7521763245264689,0.4972639324350396,0.2288449652858673,0.1245659738779068,287.0,2304.0
0.7649,0.98,2,Resnet-20,CIFAR-10,2,layer1.0.conv2,0.7092932462692261,0.3619341508480013,0.2859453419688025,0.1085069477558136,250.0,2304.0
0.7649,0.98,2,Resnet-20,CIFAR-10,3,layer1.1.conv1,0.7516018003225327,0.4140509130807233,0.2701910497750976,0.1223958358168602,282.0,2304.0
0.7649,0.98,2,Resnet-20,CIFAR-10,4,layer1.1.conv2,0.7107826232910156,0.348320504288208,0.2335057780307189,0.1202256977558136,277.0,2304.0
0.7649,0.98,2,Resnet-20,CIFAR-10,5,layer1.2.conv1,1.0091092586517334,0.4005511373433282,0.3033229634318926,0.1119791641831398,258.0,2304.0
0.7649,0.98,2,Resnet-20,CIFAR-10,6,layer1.2.conv2,0.812950587272644,0.4686994629865614,0.3713387027967845,0.1072048619389534,247.0,2304.0
0.7649,0.98,2,Resnet-20,CIFAR-10,7,layer2.0.conv1,0.5223907232284546,0.2282322665437953,0.2167054575933302,0.0646701380610466,298.0,4608.0
0.7649,0.98,2,Resnet-20,CIFAR-10,8,layer2.0.conv2,0.7681859284639359,0.3864844234801746,0.1777656622195231,0.0315755195915699,291.0,9216.0
0.7649,0.98,2,Resnet-20,CIFAR-10,9,layer2.0.shortcut.0,,,,0.001953125,1.0,512.0
0.7649,0.98,2,Resnet-20,CIFAR-10,10,layer2.1.conv1,0.8675294518470764,0.301704537067484,0.2414337165777925,0.0315755195915699,291.0,9216.0
0.7649,0.98,2,Resnet-20,CIFAR-10,11,layer2.1.conv2,0.8838768800099691,0.3613356434544663,0.2655578305389736,0.0322265625,297.0,9216.0
0.7649,0.98,2,Resnet-20,CIFAR-10,12,layer2.2.conv1,0.6674736142158508,0.3138104598323145,0.261911666788604,0.0308159720152616,284.0,9216.0
0.7649,0.98,2,Resnet-20,CIFAR-10,13,layer2.2.conv2,0.9539093573888144,0.3909103754126534,0.3193107371785001,0.0303819440305233,280.0,9216.0
0.7649,0.98,2,Resnet-20,CIFAR-10,14,layer3.0.conv1,0.7876844286918641,0.3083469305074339,0.2578416931340735,0.0155707467347383,287.0,18432.0
0.7649,0.98,2,Resnet-20,CIFAR-10,15,layer3.0.conv2,0.7829691966374716,0.3720659720926047,0.2470827312617771,0.0076768663711845,283.0,36864.0
0.7649,0.98,2,Resnet-20,CIFAR-10,16,layer3.0.shortcut.0,,,,0.0,0.0,2048.0
0.7649,0.98,2,Resnet-20,CIFAR-10,17,layer3.1.conv1,0.9280550181865692,0.380787651813709,0.3023526281939582,0.0069173178635537,255.0,36864.0
0.7649,0.98,2,Resnet-20,CIFAR-10,18,layer3.1.conv2,0.4642705917358398,0.2179131052905018,0.14420421088063,0.0079752607271075,294.0,36864.0
0.7649,0.98,2,Resnet-20,CIFAR-10,19,layer3.2.conv1,1.5198464393615725,0.453808787814664,0.3028130834021191,0.0064561632461845,238.0,36864.0
0.7649,0.98,2,Resnet-20,CIFAR-10,20,layer3.2.conv2,,,0.1551941784370873,0.0076497397385537,282.0,36864.0
0.7649,0.98,2,Resnet-20,CIFAR-10,21,linear,2.1918325424194336,0.5160274172920577,0.4407391972442561,0.317187488079071,203.0,640.0
0.7412,0.98,0,Resnet-20,CIFAR-10,0,conv1,2.0957638025283813,0.4199163389392264,0.4251337523563216,0.6064814925193787,262.0,432.0
0.7412,0.98,0,Resnet-20,CIFAR-10,1,layer1.0.conv1,0.8668009553636823,0.1993070712795536,0.1789187786337311,0.3433159589767456,791.0,2304.0
0.7412,0.98,0,Resnet-20,CIFAR-10,2,layer1.0.conv2,0.6711815118789672,0.1586770268889942,0.1640619675973118,0.2777777910232544,640.0,2304.0
0.7412,0.98,0,Resnet-20,CIFAR-10,3,layer1.1.conv1,0.6820507645606995,0.1519347519932443,0.1238469762831032,0.2296006977558136,529.0,2304.0
0.7412,0.98,0,Resnet-20,CIFAR-10,4,layer1.1.conv2,0.4533043305079142,0.1250083323107711,0.011230954227128,0.1844618022441864,425.0,2304.0
0.7412,0.98,0,Resnet-20,CIFAR-10,5,layer1.2.conv1,0.42751145362854,0.1504548940090588,0.0265324192026809,0.1480034738779068,341.0,2304.0
0.7412,0.98,0,Resnet-20,CIFAR-10,6,layer1.2.conv2,0.2457466125488281,0.1086747299469773,-0.1098988337173353,0.109375,252.0,2304.0
0.7412,0.98,0,Resnet-20,CIFAR-10,7,layer2.0.conv1,,,-0.1192076385739637,0.0572916679084301,264.0,4608.0
0.7412,0.98,0,Resnet-20,CIFAR-10,8,layer2.0.conv2,,,-0.5172094833623175,0.0163845494389534,151.0,9216.0
0.7412,0.98,0,Resnet-20,CIFAR-10,9,layer2.0.shortcut.0,,,0.1908047581302298,0.28125,144.0,512.0
0.7412,0.98,0,Resnet-20,CIFAR-10,10,layer2.1.conv1,,,-0.4726716842255261,0.0131293404847383,121.0,9216.0
