accuracy,pruning,sparsity,model,dataset,seed,layer_id,layer_name,layer_sparsity,nodes,edges,cut-edges,motif,no_connected_components,mean_connected_components,avg_node_strength,1-hop_nei,cut-nodes,k-core,spectral_gap,spectral_radius
0.2576,uniform,0.98,CONV-6,tinyimagenet,0,4,convs1.10,0.0194973424077034,1280,2875,227,35911,97,13.195876288659791,1.0919877909123898,3.24609375,101,2.49140625,0.34002447,9.881755032238408
0.2576,uniform,0.98,CONV-6,tinyimagenet,0,6,convs1.14,0.0198533795773983,1408,5855,23,81869,10,140.8,1.6515436057340016,5.158380681818182,20,4.830255681818182,0.5205121,8.838753914871079
0.2576,uniform,0.98,CONV-6,tinyimagenet,0,7,convs1.17,0.0201585553586483,2560,11890,79,306060,14,182.8571428571429,1.5607320441398769,5.64453125,62,5.08671875,1.0297985,11.725310171359109
0.2576,uniform,0.98,CONV-6,tinyimagenet,0,9,linear.0,0.0199737548828125,4352,20944,122,908163,24,181.33333333333331,1.3381198369076146,5.8125,93,5.159696691176471,1.1006169,17.000692338157226
0.2576,uniform,0.98,CONV-6,tinyimagenet,0,10,linear.3,0.0195770263671875,512,1283,18,6346,6,85.33333333333333,1.4160214667208493,3.505859375,18,3.244140625,0.22798848,4.076866744638484
0.2576,uniform,0.98,CONV-6,tinyimagenet,0,11,linear.6,0.0214257817715406,456,1097,21,5275,9,50.66666666666666,2.775176050108776,3.405701754385965,20,2.7653508771929824,0.21418667,8.302190356022024
0.259,uniform,0.98,CONV-6,tinyimagenet,1,0,convs1.0,0.0190972220152616,91,33,33,27,58,1.5689655172413792,0.4013272798978365,1.362637362637363,17,0.4835164835164835,0.05742359,7.89116818956712
0.259,uniform,0.98,CONV-6,tinyimagenet,1,1,convs1.3,0.0188530813902616,640,695,199,4122,179,3.575418994413408,0.587567875906825,2.0859375,61,1.2171875,0.24611902,11.471470538322675
0.259,uniform,0.98,CONV-6,tinyimagenet,1,3,convs1.7,0.019612630829215,704,1446,124,9979,48,14.666666666666666,1.2316709194671025,3.053977272727273,87,2.2329545454545454,0.4222362,7.672467567361349
0.259,uniform,0.98,CONV-6,tinyimagenet,1,4,convs1.10,0.0197075735777616,1280,2906,248,36861,96,13.333333333333334,1.0984237393364311,3.2703125,112,2.49140625,0.1645453,12.51676789910898
0.259,uniform,0.98,CONV-6,tinyimagenet,1,6,convs1.14,0.02031453512609,1408,5991,33,85355,8,176.0,1.672516957518052,5.254971590909091,28,4.907670454545454,0.5460634,8.818389772818108
